uniprot_accession,organism,organism_type,gh_family,length,molecular_weight,aromaticity,instability_index,gravy,predicted_pI,secondary_structure_fraction_helix,secondary_structure_fraction_turn,secondary_structure_fraction_sheet,optimum_temperature,optimum_pH,aa_A_fraction,aa_C_fraction,aa_D_fraction,aa_E_fraction,aa_F_fraction,aa_G_fraction,aa_H_fraction,aa_I_fraction,aa_K_fraction,aa_L_fraction,aa_M_fraction,aa_N_fraction,aa_P_fraction,aa_Q_fraction,aa_R_fraction,aa_S_fraction,aa_T_fraction,aa_V_fraction,aa_W_fraction,aa_Y_fraction
A0A0K3A1E7,Xanthomonas graminis pv. arrhenatheri LMG 727,bacterial,GH10,404,44544.2138,0.09653465346534654,29.301732673267317,-0.2141089108910891,7.134850883483887,0.34405940594059403,0.2623762376237624,0.3193069306930693,,,16.08910891089109,0.49504950495049505,8.415841584158416,3.217821782178218,4.455445544554456,7.673267326732673,2.227722772277228,3.217821782178218,4.207920792079208,8.168316831683168,2.722772277227723,2.9702970297029703,5.198019801980198,5.445544554455446,7.425742574257426,1.9801980198019802,2.9702970297029703,7.920792079207921,2.227722772277228,2.9702970297029703
A0A0K3A9X5,Xanthomonas graminis pv. poae,bacterial,GH10,403,44466.2062,0.09925558312655088,28.88238213399503,-0.19851116625310175,8.763783836364745,0.33250620347394544,0.2655086848635236,0.33250620347394544,,,15.632754342431761,0.24813895781637718,8.436724565756824,2.729528535980149,4.4665012406947895,7.6923076923076925,1.9851116625310175,3.4739454094292803,4.218362282878412,7.94044665012407,2.729528535980149,2.977667493796526,5.459057071960298,4.962779156327543,7.6923076923076925,1.9851116625310175,3.7220843672456576,8.188585607940446,2.2332506203473947,3.225806451612903
A0A0S3G5Y8,Bacillus sp. SC-2014,bacterial,GH11,194,21156.827,0.15979381443298968,21.518041237113394,-0.4536082474226804,9.051054954528809,0.15463917525773196,0.3814432989690722,0.42783505154639173,,,7.216494845360825,0.0,3.0927835051546393,1.0309278350515463,2.577319587628866,13.402061855670103,1.5463917525773196,3.6082474226804124,2.0618556701030926,3.6082474226804124,1.5463917525773196,8.762886597938145,3.0927835051546393,2.0618556701030926,3.6082474226804124,9.793814432989691,13.402061855670103,6.185567010309279,5.154639175257732,8.24742268041237
A0A0U2V335,Thermoactinospora rubra,bacterial,GH10,412,46116.6821,0.0970873786407767,36.8175,-0.21990291262135925,5.053804969787596,0.28398058252427183,0.279126213592233,0.3859223300970874,,,8.980582524271844,0.970873786407767,8.009708737864077,6.553398058252427,4.611650485436893,8.009708737864077,3.1553398058252426,4.611650485436893,1.941747572815534,8.737864077669903,2.1844660194174756,1.6990291262135921,7.038834951456311,1.941747572815534,7.766990291262136,3.1553398058252426,7.766990291262136,7.766990291262136,2.912621359223301,2.1844660194174756
A0A173M083,Ruminiclostridium josui (Clostridium josui),bacterial,GH10,541,59886.05769999999,0.11275415896487985,27.128835489833655,-0.25046210720887246,5.2216505050659165,0.29390018484288355,0.3290203327171904,0.36968576709796674,,,8.133086876155268,2.033271719038817,6.654343807763401,4.621072088724584,4.251386321626617,8.502772643253234,1.1090573012939002,7.393715341959335,7.024029574861368,8.133086876155268,1.478743068391867,6.839186691312385,4.251386321626617,3.512014787430684,2.2181146025878005,6.654343807763401,5.360443622920518,4.805914972273568,2.957486136783734,4.066543438077634
A0A1X9RHS0,Paenibacillus amylolyticus,bacterial,GH10,333,38731.1001,0.11711711711711711,47.40093093093092,-0.4687687687687688,5.323562812805175,0.3123123123123123,0.24924924924924927,0.37537537537537535,,,7.5075075075075075,0.0,6.606606606606607,8.70870870870871,5.405405405405405,4.504504504504505,4.2042042042042045,5.7057057057057055,4.504504504504505,7.807807807807808,2.7027027027027026,4.2042042042042045,3.903903903903904,3.903903903903904,6.006006006006006,5.7057057057057055,5.7057057057057055,6.606606606606607,2.7027027027027026,3.6036036036036037
A0A286N5W6,Paenibacillus massiliensis subsp. panacisoli,bacterial,GH10,902,98762.3606,0.0942350332594235,33.004911308204115,-0.3501108647450111,4.7145898818969725,0.270509977827051,0.32483370288248337,0.369179600886918,,,10.088691796008868,0.0,6.208425720620842,4.988913525498892,3.2150776053215075,7.206208425720621,1.8847006651884701,5.210643015521065,2.882483370288248,7.427937915742794,1.6629711751662972,6.651884700665189,5.5432372505543235,5.4323725055432375,3.658536585365854,6.873614190687362,8.093126385809313,6.762749445676275,1.9955654101995566,4.212860310421286
A0A291B2R6,Humicola insolens (Soft-rot fungus),fungal,GH11,227,25614.6671,0.16740088105726872,32.517268722466945,-0.7004405286343612,8.615957832336427,0.15418502202643172,0.34801762114537443,0.3744493392070484,,,6.167400881057269,0.0,3.5242290748898677,2.643171806167401,3.9647577092511015,12.334801762114537,2.202643171806167,3.5242290748898677,2.202643171806167,3.0837004405286343,1.3215859030837005,7.488986784140969,3.9647577092511015,8.370044052863436,4.845814977973569,7.488986784140969,7.048458149779735,7.048458149779735,3.5242290748898677,9.251101321585903
A0A291B2S7,Humicola insolens (Soft-rot fungus),fungal,GH11,294,31091.3274,0.12244897959183673,23.2438775510204,-0.6551020408163265,8.702732276916507,0.14965986394557823,0.43537414965986393,0.31972789115646255,,,6.802721088435374,2.0408163265306123,2.380952380952381,2.380952380952381,2.7210884353741496,18.707482993197278,1.3605442176870748,2.0408163265306123,1.0204081632653061,3.741496598639456,1.0204081632653061,10.204081632653061,5.1020408163265305,4.761904761904762,5.1020408163265305,7.142857142857143,8.503401360544217,5.442176870748299,3.401360544217687,6.122448979591836
A0A291B2W8,Humicola insolens (Soft-rot fungus),fungal,GH11,227,24999.4456,0.13656387665198239,31.323788546255496,-0.47665198237885464,8.489664268493652,0.21145374449339208,0.31277533039647576,0.3700440528634361,,,7.929515418502203,0.8810572687224669,1.7621145374449338,5.286343612334802,3.0837004405286343,14.537444933920705,1.7621145374449338,3.5242290748898677,2.202643171806167,3.9647577092511015,1.7621145374449338,4.845814977973569,4.405286343612334,6.167400881057269,5.726872246696035,5.726872246696035,8.370044052863436,7.488986784140969,4.405286343612334,6.167400881057269
