metric_x,metric_y,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
duet_best_ddg,duet_mean_ddg_mut,20,0.28421052631578947,0.2245845982112046,0.40848378131389385,0.0737575288758983,0.28421052631578947
duet_mean_ddg,score_duet,20,0.28421052631578947,0.2245845982112046,0.4084837813138939,0.0737575288758983,0.28421052631578947
duet_mean_ddg,duet_best_ddg_mut,20,0.28421052631578947,0.2245845982112046,0.40848378131389385,0.0737575288758983,0.28421052631578947
score_duet,duet_mean_ddg_mut,20,0.28421052631578947,0.2245845982112046,0.4084837813138939,0.0737575288758983,0.28421052631578947
duet_best_ddg_mut,duet_mean_ddg_mut,20,0.28421052631578947,0.2245845982112046,0.40848378131389385,0.0737575288758983,0.28421052631578947
thermoprot_probability,duet_best_ddg,20,-0.2796992481203007,0.23234786067734575,-0.14359502001567706,0.5458631703819756,0.2796992481203007
thermoprot_probability,score_duet,20,-0.2796992481203007,0.23234786067734575,-0.14359502001567703,0.5458631703819756,0.2796992481203007
thermoprot_probability,duet_best_ddg_mut,20,-0.2796992481203007,0.23234786067734575,-0.14359502001567706,0.5458631703819756,0.2796992481203007
duet_best_ddg,score_thermoprot,20,-0.2796992481203007,0.23234786067734575,-0.14359502001567703,0.5458631703819756,0.2796992481203007
score_thermoprot,score_duet,20,-0.2796992481203007,0.23234786067734575,-0.143595020015677,0.5458631703819756,0.2796992481203007
score_thermoprot,duet_best_ddg_mut,20,-0.2796992481203007,0.23234786067734575,-0.14359502001567703,0.5458631703819756,0.2796992481203007
optimum_pH_x,composite_score,23,0.2644954529974853,0.22261555832918467,0.3403569174899527,0.11202996338526663,0.2644954529974853
optimum_pH_x,composite_rank,23,-0.2644954529974853,0.22261555832918467,-0.34638480573228664,0.10541591440903109,0.2644954529974853
composite_score,optimum_pH_y,23,0.2644954529974853,0.22261555832918467,0.3403569174899527,0.11202996338526663,0.2644954529974853
composite_rank,optimum_pH_y,23,-0.2644954529974853,0.22261555832918467,-0.34638480573228664,0.10541591440903109,0.2644954529974853
salt_bridge_proxy,xylanase_candidate_label,145,-0.26222807570713563,0.0014412369998800824,-0.08323951953068745,0.3195466544087232,0.26222807570713563
score_salt_bridge_proxy,xylanase_candidate_label,145,-0.26222807570713563,0.0014412369998800824,-0.08323951953068742,0.3195466544087232,0.26222807570713563
gravy,duet_worst_ddg,20,0.26165413533834586,0.2651241095103528,0.2832224097331998,0.22627032980562453,0.26165413533834586
gravy,duet_worst_ddg_mut,20,0.26165413533834586,0.2651241095103528,0.2832224097331998,0.22627032980562453,0.26165413533834586
vina_xylobiose_score,xylanase_candidate_label,145,-0.2610577268663846,0.0015163998771107459,-0.24400169698710794,0.003100678825805384,0.2610577268663846
vina_xylobiose_score_norm,xylanase_candidate_label,145,0.2610577268663846,0.0015163998771107459,0.24400169698710794,0.003100678825805384,0.2610577268663846
xylanase_candidate_label,vina_xylobiose_score_dock,145,-0.26105772686638457,0.0015163998771107491,-0.24400169698710794,0.003100678825805384,0.26105772686638457
xylanase_candidate_label,vina_xylobiose_score_norm_dock,145,0.26105772686638457,0.0015163998771107491,0.24400169698710794,0.003100678825805384,0.26105772686638457
secondary_structure_fraction_turn,xylanase_candidate_label,155,0.26034537374104827,0.001069244880026623,0.2296206273093135,0.00405156584314955,0.26034537374104827
molecular_weight,xylanase_candidate_label,155,-0.26017797350310556,0.0010775150827061768,-0.16522186885958248,0.039928575729807424,0.26017797350310556
predicted_pI,thermoprot_probability,155,0.25847974135397356,0.0011647883590651573,0.278150083015588,0.0004577687118309053,0.25847974135397356
predicted_pI,score_thermoprot,155,0.25847974135397356,0.0011647883590651573,0.27815008301558797,0.0004577687118309103,0.25847974135397356
predicted_pI,score_structure,155,-0.25012709219113155,0.0016958349978631636,-0.17906947225349185,0.02578712522180122,0.25012709219113155
docking_score_mean_norm,duet_n_stabilizing,20,-0.2483577210064673,0.2910461622071792,-0.2949307640950208,0.2068226554438326,0.2483577210064673
docking_score_mean_norm,duet_n_stabilizing_mut,20,-0.2483577210064673,0.2910461622071792,-0.2949307640950208,0.2068226554438326,0.2483577210064673
rank_docking,duet_n_stabilizing,20,0.2483577210064673,0.2910461622071792,0.2819958189783798,0.2283743443524977,0.2483577210064673
rank_docking,duet_n_stabilizing_mut,20,0.2483577210064673,0.2910461622071792,0.2819958189783798,0.2283743443524977,0.2483577210064673
score_docking,duet_n_stabilizing_mut,20,-0.2483577210064673,0.2910461622071792,-0.2949307640950208,0.2068226554438326,0.2483577210064673
duet_n_stabilizing,score_docking,20,-0.24835772100646727,0.2910461622071793,-0.2949307640950208,0.2068226554438326,0.24835772100646727
duet_n_stabilizing,docking_score_mean_norm_dock,20,-0.24835772100646727,0.2910461622071793,-0.2949307640950208,0.2068226554438326,0.24835772100646727
duet_n_stabilizing,rank_docking_dock,20,0.24835772100646727,0.2910461622071793,0.2819958189783798,0.2283743443524977,0.24835772100646727
